Dstat 0.7.0 CSV output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,,,,,,,,,,,,,,,,
Host:,server.local,,,,User:,root,,,,,,,,,,,,,,,,,,,,,,,,
Cmdline:,dstat -Tcdilmnprsy --proc-count --output /tmp/dstat_Tcdilmnprsy_proc_server.local_20180317_214611.csv 1 86400,,,,Date:,17 Mar 2018 21:46:11 GMT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,total cpu usage,,,,,,dsk/total,,interrupts,,,load avg,,,memory usage,,,,net/total,,procs,,,io/total,,swap,,system,,procs
epoch,usr,sys,idl,wai,hiq,siq,read,writ,241,242,243,1m,5m,15m,used,buff,cach,free,recv,send,run,blk,new,read,writ,used,free,int,csw,total
1521323171.488,16.422,15.453,61.571,4.33,0.004,2.22,47853515.391,53431838.22,296.725,168.577,375.046,8.02,17.12,20.3,17138778112,5738496,223743225856,29904343040,0,0,0,0,137.357,332.495,1005.91,0,34357637120,13832.33,212149.363,2555
1521323172.489,3.707,2.325,91.863,1.728,0,0.377,28672,37500928,401,424,332,8.02,17.12,20.3,17319424000,5738496,223746240512,29720682496,58470956,62885239,3,0,145,4,1481,0,34357637120,27575,38826,2619
1521323173.489,15.475,30.823,48.618,1.525,0,3.559,2260992,58142208,3685,3517,2896,8.02,17.12,20.3,17553764352,5738496,223751847936,29480734720,74715734,62900066,61,0,176,53,1407,0,34357637120,153833,411521,2315
1521323174.489,16.487,29.257,48.03,1.97,0.032,4.225,8192000,61392384,4413,4253,3457,7.62,16.88,20.21,17465331712,5738496,223787528192,29533487104,80394633,65452032,1,3,32,152,794,0,34357637120,171118,455753,2179
1521323175.489,10.981,12.79,74.294,0.952,0,0.984,163840,13218816,1388,1459,1085,7.62,16.88,20.21,16782127104,5738496,223793160192,30211059712,54797207,44570264,18,0,385,5,549,0,34357637120,66116,172878,2195
1521323176.489,21.479,33.875,39.771,0.542,0,4.334,9175040,35805696,4648,4550,3637,7.62,16.88,20.21,17164013568,5738496,223817207808,29805125632,115877573,118799387,34,0,32,224,439,0,34357637120,182968,506412,2051
1521323177.489,4.088,4.623,90,0.346,0.031,0.912,868352,13514752,796,947,660,7.62,16.88,20.21,16837058560,5746688,223824777216,30124503040,37853192,25994959,0,0,16,35,228,0,34357637120,39867,85697,2003
1521323178.489,1.824,2.517,94.275,1.101,0,0.283,36864,63262720,386,326,226,7.62,16.88,20.21,16696307712,5746688,223829716992,30260314112,24533498,17753351,0,1,16,5,1672,0,34357637120,20445,52811,1987
1521323179.489,11.503,15.569,59.092,13.237,0,0.599,2760704,83691520,879,1049,645,8.93,17,20.23,15500845056,5746688,223833849856,31451643904,87969419,80844327,9,13,85,61,2403,0,34357637120,46549,117073,1854
1521323180.489,13.068,6.963,62.734,15.739,0,1.494,2297856,31579136,2137,1879,1453,8.93,17,20.23,15602438144,5746688,223838220288,31345680384,162086696,222600342,1,3,27,55,894,0,34357637120,82237,141111,1851
1521323181.489,7.161,8.328,81.924,1.672,0,0.915,827392,37888000,1108,1088,946,8.93,17,20.23,16155852800,5746688,223840714752,30789771264,54827517,62216285,1,0,360,16,999,0,34357637120,51676,105476,2024
1521323182.489,12.163,17.865,67.152,0.665,0,2.154,3866624,29007872,2546,2406,1864,8.93,17,20.23,16621744128,5746688,223872528384,30292066304,72592063,61060266,14,0,57,40,243,0,34357637120,103118,258109,2019
1521323183.489,22.981,26.907,46.473,0.223,0,3.415,5472256,56005120,3952,3856,3106,8.93,17,20.23,17316057088,5754880,223899017216,29571256320,106779943,93448422,14,0,155,75,924,0,34357637120,158696,448495,2067
1521323184.489,14.277,21.32,61.834,0.19,0,2.379,1839104,44955648,2872,2713,2226,10.37,17.17,20.26,16288423936,5754880,223904845824,30593060864,50019249,51856560,7,0,37,41,1253,0,34357637120,117648,322267,1907
1521323185.489,6.828,11.265,81.372,0.031,0,0.503,0,9166336,656,747,524,10.37,17.17,20.26,15270244352,5754880,223912833024,31603253248,63740886,56365071,1,0,0,0,412,0,34357637120,34736,99967,1795
1521323186.489,10.386,4.022,79.766,4.655,0,1.172,36499456,44376064,1311,1227,881,10.37,17.17,20.26,15166656512,5754880,223967293440,31652380672,174923718,229180880,3,8,128,196,1083,0,34357637120,54208,46804,1846
1521323187.489,11.956,10.631,62.65,13.849,0,0.915,507076608,25245184,1372,1550,1140,10.37,17.17,20.26,15879340032,5754880,224462405632,30444584960,68849968,73981409,27,1,273,2301,977,0,34357637120,65435,155268,1980
1521323188.489,11.52,20.914,62.52,2.602,0,2.444,26550272,40215552,2792,2631,2203,10.37,17.17,20.26,16417488896,5754880,224491048960,29877792768,58120680,51648227,30,0,216,369,856,0,34357637120,111112,323302,2040
1521323189.489,25.31,25.849,44.903,0.349,0.032,3.557,307200,39376384,3692,3429,2867,13.79,17.76,20.44,17081696256,5763072,224501862400,29202763776,76603608,65203548,38,0,360,7,768,0,34357637120,154091,374168,2155
1521323190.489,23.185,35.796,36.433,0.287,0,4.299,5017600,12836352,4459,4253,3635,13.79,17.76,20.44,18305875968,5763072,224517165056,27963281408,81669088,59160845,47,0,128,67,192,0,34357637120,181754,504233,2163
1521323191.489,15.638,16.588,51.789,12.092,0.032,3.862,11329536,105778688,3397,3386,2658,13.79,17.76,20.44,17379930112,5763072,224563507200,28842885120,115592567,84096431,24,6,16,316,1687,0,34357637120,141118,289402,2031
1521323192.489,2.487,4.251,83.627,9.225,0,0.409,278528,29709312,571,590,514,13.79,17.76,20.44,16568668160,5763072,224567640064,29650014208,21689841,30044935,0,0,32,14,1031,0,34357637120,29704,73389,1971
1521323193.489,13.003,17.839,67.714,0.597,0,0.848,6475776,32773632,1412,1510,791,13.79,17.76,20.44,15749070848,5763072,224597012480,30440239104,110712865,112131839,30,0,0,70,844,0,34357637120,56778,117898,1843
1521323194.489,5.452,4.696,88.78,0.693,0,0.378,0,39354880,469,494,266,12.76,17.48,20.33,15278653440,5763072,224601067520,30906601472,41325913,33632427,22,1,17,0,1117,0,34357637120,24738,70671,1803
1521323195.489,1.536,1.724,91.473,5.11,0,0.157,0,33281024,255,257,187,12.76,17.48,20.33,15347712000,5763072,224604336128,30834274304,9337203,8286285,1,3,16,0,1024,0,34357637120,16384,45486,1811
1521323196.489,0.376,1.379,86.18,12.034,0,0.031,81920,55555072,36,0,14,12.76,17.48,20.33,15412236288,5771264,224604700672,30769377280,1159441,1368089,0,9,54,4,2820,0,34357637120,9128,12394,1841
1521323197.489,3.277,7.908,62.791,25.488,0,0.536,167936,70356480,888,891,699,12.76,17.48,20.33,15499309056,5771264,224605540352,30681464832,14307931,15211733,1,15,32,6,2124,0,34357637120,43121,122416,1827
1521323198.489,2.045,3.051,76.156,18.465,0,0.283,4096,72360960,521,476,425,12.76,17.48,20.33,15677153280,5771264,224605908992,30503251968,8073969,7223864,1,10,50,1,1907,0,34357637120,25986,71672,1853
1521323199.489,9.715,6.962,73.766,7.975,0,1.582,73728,64285696,1647,1496,1182,12.46,17.34,20.27,15172034560,5771264,224608546816,31005732864,148848053,208904018,2,2,89,4,1506,0,34357637120,68809,106765,1817
1521323200.489,2.702,1.791,83.443,11.876,0,0.189,40960,89592320,234,350,198,12.46,17.34,20.27,15152373760,5771264,224608595968,31025344512,34630350,26485759,0,1,119,10,2054,0,34357637120,19695,24001,1859
